ticker,test_year,period,train_start,train_end,test_start,test_end,ga_trailing_stop_pct,ga_reentry_ma,ga_momentum_lookback,train_fitness,train_annualized_return,train_cumulative_return,train_max_drawdown,train_volatility,test_ga_cumulative_return,test_fixed_cumulative_return,test_dca_cumulative_return,test_buy_hold_cumulative_return,ga_beats_fixed_cumulative,ga_beats_dca_cumulative,ga_beats_buy_hold_cumulative,ga_population_size,ga_generations
MSFT,2024,post_2016_oos_wf,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.307,125,103,0.5795746159841819,0.18855283509818044,21.34617624806679,-0.36379829524749263,0.24607483838977165,0.14501577233728202,0.14501577233728224,0.024583245546112353,0.14501577233728047,False,True,True,8,5
MSFT,2025,post_2016_oos_wf,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.314,60,103,0.6829896023419545,0.1883136147343154,25.492700097744923,-0.38485477488515296,0.24877910422678173,0.16390558326302718,-0.017472596916074168,0.06677467956657757,0.16390558326302695,True,True,True,8,5
MSFT,2026,post_2016_oos_wf,2006-01-03,2025-12-31,2026-01-02,2026-05-15,0.281,183,126,0.8048049218796866,0.18614508354933434,29.349205538775777,-0.31491598295420276,0.2384579045187158,-0.18605026068090624,-0.0910972023230876,0.022392606850185404,-0.10584214584820706,False,False,False,8,5
V,2013,pre_2016_internal_wf,2008-03-19,2012-12-31,2013-01-02,2013-12-31,0.2,100,68,0.22831624448387974,0.3064596870094085,2.594247884154425,-0.30896341518668125,0.30042834779678607,0.4443549777388327,0.4443549777388329,0.2733278667008141,0.44435497773883315,False,True,False,8,5
V,2014,pre_2016_internal_wf,2008-03-19,2013-12-31,2014-01-02,2014-12-31,0.18,117,63,0.2950762259555533,0.325301525547782,4.10035206034871,-0.30354202177801215,0.28565670690540523,0.1953222301389912,0.19532223013899208,0.2010834217158206,0.1953222301389923,False,False,False,8,5
V,2015,pre_2016_internal_wf,2008-03-19,2014-12-31,2015-01-02,2015-12-31,0.189,76,195,0.26983013574957737,0.2809322350377568,4.364136581811017,-0.2808298486099118,0.23311694953106654,0.17869655440758625,0.1786965544075847,0.1202920096775204,0.17869655440758603,True,True,True,8,5
V,2016,post_2016_oos_wf,2008-03-19,2015-12-31,2016-01-04,2016-12-30,0.204,90,76,0.3067042422509506,0.2949401496565549,6.476856757726035,-0.3021705937695197,0.2691879091412805,0.038485397896428575,0.03848539789642835,0.008015061728417816,0.03848539789642702,True,True,True,8,5
V,2017,post_2016_oos_wf,2008-03-19,2016-12-30,2017-01-03,2017-12-29,0.2,100,126,0.1746147417487033,0.23629216116363572,5.443207102282068,-0.3458619526122012,0.25297522586834664,0.4443660175987503,0.4443660175987503,0.2052675075433823,0.44436601759875183,False,True,False,8,5
V,2018,post_2016_oos_wf,2008-03-19,2017-12-29,2018-01-02,2018-12-31,0.194,100,116,0.3876974916774479,0.28161946645730285,10.319863047868104,-0.3144129209958543,0.24585455337490356,0.15989061694503848,0.15989061694503715,0.005409775662468697,0.15989061694503892,True,True,False,8,5
V,2019,post_2016_oos_wf,2008-03-19,2018-12-31,2019-01-02,2019-12-31,0.224,98,251,0.33834337850447765,0.25924205610390305,11.012054513614423,-0.3035771572994199,0.24988939405297853,0.4227031309742675,0.42270313097426837,0.16026307838598997,0.42270313097426726,False,True,True,8,5
V,2020,post_2016_oos_wf,2008-03-19,2019-12-31,2020-01-02,2020-12-31,0.193,120,98,0.513821445620745,0.27776435769746066,16.963252562754707,-0.3035420217780127,0.24737423302656322,0.025811720801782956,-0.006157388616058079,0.15116653999631113,0.15150897472356517,True,False,False,8,5
V,2021,post_2016_oos_wf,2008-03-19,2020-12-31,2021-01-04,2021-12-31,0.2,100,194,0.4466116048961192,0.24694587050998118,15.806788365487002,-0.28227236891856,0.23183449968030287,-0.09726614154017477,-0.09726614154017676,-0.009803790839466253,0.0012912444172903381,True,False,False,8,5
V,2022,post_2016_oos_wf,2008-03-19,2021-12-31,2022-01-03,2022-12-30,0.244,79,68,0.319233198627945,0.22102420233395526,14.685592218828072,-0.3517174897029769,0.2519809844476569,-0.16560034097187493,-0.17567133850762207,-0.005346177281938758,-0.05463765137348797,True,False,False,8,5
V,2023,post_2016_oos_wf,2008-03-19,2022-12-30,2023-01-03,2023-12-29,0.24,69,85,0.15503988572607916,0.19392501407218066,12.735621734004377,-0.3624461783083017,0.25478449732774383,0.26533355852817864,0.2653335585281791,0.12520712443082704,0.26533355852817775,False,True,True,8,5
V,2024,post_2016_oos_wf,2008-03-19,2023-12-29,2024-01-02,2024-12-31,0.247,97,84,0.2644053561189707,0.20056544122623365,16.888269646482502,-0.3364994475781613,0.24936199173190599,0.23017594797992014,0.23017594797992014,0.14748990366755121,0.23017594797991814,False,True,True,8,5
V,2025,post_2016_oos_wf,2008-03-19,2024-12-31,2025-01-02,2025-12-31,0.244,51,103,0.42018666371386343,0.20612373367762737,22.239380361552286,-0.3681482485949491,0.24381832598602873,0.12341276225576414,0.12341276225576392,0.023076637633455466,0.12341276225576414,True,True,False,8,5
V,2026,post_2016_oos_wf,2008-03-19,2025-12-31,2026-01-02,2026-05-15,0.248,59,118,0.4025653294261701,0.19663314301574442,23.352469422958443,-0.37125317944919667,0.24047188592369048,-0.05593848152941394,-0.1462040884247524,0.006189393022516088,-0.0559384815294145,True,False,True,8,5
MA,2011,pre_2016_internal_wf,2006-05-25,2010-12-31,2011-01-03,2011-12-30,0.186,112,64,0.22594446713435784,0.5230508753925482,5.932845097500333,-0.32113492778030417,0.37495000683250557,0.6918076577491352,0.691807657749135,0.31733613700992147,0.6918076577491379,True,True,False,8,5
MA,2012,pre_2016_internal_wf,2006-05-25,2011-12-30,2012-01-03,2012-12-31,0.289,100,178,0.3240105789838888,0.5418494162334491,10.293512776079462,-0.3263076814342091,0.36870783608699553,0.33688714032644573,0.3368871403264466,0.1599381294473754,0.33688714032644596,False,True,False,8,5
MA,2013,pre_2016_internal_wf,2006-05-25,2012-12-31,2013-01-02,2013-12-31,0.335,94,66,0.6666045946108243,0.4916203831284993,13.021248947793774,-0.4252383135424693,0.371241999558319,0.6432381387181232,0.6432381387181241,0.415105953678216,0.6432381387181227,False,True,True,8,5
MA,2014,pre_2016_internal_wf,2006-05-25,2013-12-31,2014-01-02,2014-12-31,0.209,143,82,0.950884603831031,0.5296892894213598,24.32447636422554,-0.3070003000480984,0.33528801134944614,0.038895298040692916,0.03889529804069558,0.11691400251179762,0.03889529804069469,False,False,False,8,5
MA,2015,pre_2016_internal_wf,2006-05-25,2014-12-31,2015-01-02,2015-12-31,0.29,147,138,0.7964252101126966,0.46586152130117386,25.840206474050632,-0.31532883619646,0.32899791566213743,0.14448638284467008,0.1444863828446714,0.06837261594572186,0.14448638284467052,False,True,False,8,5
MA,2016,post_2016_oos_wf,2006-05-25,2015-12-31,2016-01-04,2016-12-30,0.239,146,169,0.7563747156246349,0.412726879225332,26.593405439794584,-0.310662476063696,0.3068633454776533,0.09782458292960738,-0.047636713845075396,0.08217361362984188,0.09782458292960983,True,True,False,8,5
MA,2017,post_2016_oos_wf,2006-05-25,2016-12-30,2017-01-03,2017-12-29,0.297,158,188,0.7128149833752848,0.3781879507682564,28.978027082968048,-0.35574247529186653,0.30699709890329263,0.44686722193442985,0.4468672219344314,0.2337603948195066,0.44686722193443074,False,True,False,8,5
MA,2018,post_2016_oos_wf,2006-05-25,2017-12-29,2018-01-02,2018-12-31,0.284,156,76,1.0478588705091998,0.39415937869058393,46.170288295012305,-0.35142614902273606,0.3030679772082233,0.24859228793594013,0.158297106643025,0.0008306454655933049,0.24859228793594101,True,True,False,8,5
MA,2019,post_2016_oos_wf,2006-05-25,2018-12-31,2019-01-02,2019-12-31,0.303,114,74,1.3408569680887716,0.38094322001461256,57.41731237716509,-0.3992957626563065,0.3067326655253198,0.5824368442678669,0.46766831726206237,0.20763229165907315,0.5824368442678696,True,True,False,8,5
MA,2020,post_2016_oos_wf,2006-05-25,2019-12-31,2020-01-02,2020-12-31,0.34,109,107,2.064388213148872,0.3893210131552183,86.56892185132811,-0.39630623073488547,0.2981266437388184,-0.10397607997240232,-0.10111382579314798,0.18330135750309906,0.1828481210566153,False,False,False,8,5
MA,2021,post_2016_oos_wf,2006-05-25,2020-12-31,2021-01-04,2021-12-31,0.291,132,85,2.1534321088276545,0.36815141626388836,96.28860244854098,-0.3206222718035061,0.29819590217046094,0.027291412338091625,-0.1005711192297144,0.02441115424429041,0.027291412338092735,True,True,False,8,5
MA,2022,post_2016_oos_wf,2006-05-25,2021-12-31,2022-01-03,2022-12-30,0.228,120,66,2.1230021024677246,0.3377785657831345,92.75073100780367,-0.33827410156367355,0.2935001677798615,-0.17947427434664864,-0.27828924822511514,0.010253413348047635,-0.05710384459695983,True,False,False,8,5
MA,2023,post_2016_oos_wf,2006-05-25,2022-12-30,2023-01-03,2023-12-29,0.313,67,164,1.850773768296509,0.30948649144733853,86.86762442371837,-0.373210790251327,0.29920119912455073,0.23734793405953702,0.23734793405953836,0.12245346953013114,0.23734793405953614,False,True,True,8,5
MA,2024,post_2016_oos_wf,2006-05-25,2023-12-29,2024-01-02,2024-12-31,0.313,160,172,2.17588542688509,0.30417926790458183,106.02722225262032,-0.36973440878519126,0.29344083719989217,0.2553412149672958,0.2553412149672958,0.1277896474698954,0.2553412149672938,False,True,True,8,5
MA,2025,post_2016_oos_wf,2006-05-25,2024-12-31,2025-01-02,2025-12-31,0.3,170,109,2.557648922327805,0.2982451836824145,127.4854563531876,-0.3969132144527274,0.2918294903394866,0.0990812547559703,0.09908125475596963,0.023810819079478573,0.09908125475596696,True,True,True,8,5
MA,2026,post_2016_oos_wf,2006-05-25,2025-12-31,2026-01-02,2026-05-15,0.283,146,136,3.0761882501034252,0.2931571615726889,153.41941945968594,-0.33032413997222876,0.2830836097690511,-0.11957652109239447,-0.11957652109239425,-0.054725697494299674,-0.11957652109239403,False,False,False,8,5
JPM,2011,pre_2016_internal_wf,2006-01-03,2010-12-31,2011-01-03,2011-12-30,0.298,74,145,-0.2837612837624411,-0.03198388010642783,-0.14976581156035706,-0.5362449573957913,0.36914802563834404,-0.2552665576113182,-0.11969888937301654,-0.13427650740697972,-0.2204963714101008,False,False,False,8,5
JPM,2012,pre_2016_internal_wf,2006-01-03,2011-12-30,2012-01-03,2012-12-31,0.302,77,158,-0.3235419346862746,-0.052611452499432554,-0.27646763304736455,-0.4841889705667788,0.3410169768053749,-0.015028791008130926,0.09248907640463888,0.1533615126369079,0.29445498758991784,False,False,False,8,5
JPM,2013,pre_2016_internal_wf,2006-01-03,2012-12-31,2013-01-02,2013-12-31,0.18,75,136,-0.3587109039223124,-0.04531081847204155,-0.27692119904581736,-0.5857969087738939,0.30256954530108054,0.33702283658359367,0.33702283658359367,0.16479896768109747,0.3370228365835932,False,True,True,8,5
JPM,2014,pre_2016_internal_wf,2006-01-03,2013-12-31,2014-01-02,2014-12-31,0.318,77,157,-0.3097025254420201,-0.00854126821864487,-0.06625619367862168,-0.6088161254909594,0.33267372348232666,0.09675142205471787,0.09675142205471854,0.09464538248592369,0.09675142205471898,False,True,False,8,5
JPM,2015,pre_2016_internal_wf,2006-01-03,2014-12-31,2015-01-02,2015-12-31,0.304,52,113,-0.23182139838854623,0.021523460348352952,0.2110241784682496,-0.5382826391930237,0.31621334892915565,0.07834964877470574,0.07834964877470463,0.055234443015930834,0.07834964877470751,True,True,False,8,5
JPM,2016,post_2016_oos_wf,2006-01-03,2015-12-31,2016-01-04,2016-12-30,0.329,87,65,-0.20647436209017223,0.0435871102311165,0.5314735912197881,-0.5746964785619604,0.32848108592170133,0.38702352273388096,0.22863586853077433,0.353721894330266,0.3870235227338825,True,True,False,8,5
JPM,2017,post_2016_oos_wf,2006-01-03,2016-12-30,2017-01-03,2017-12-29,0.255,62,133,-0.20020542793631452,0.050200236783295216,0.7130689012667104,-0.5520401595130193,0.28726002962542885,0.25392791641849866,0.25392791641849843,0.18032163566736537,0.25392791641849843,True,True,True,8,5
JPM,2018,post_2016_oos_wf,2006-01-03,2017-12-29,2018-01-02,2018-12-31,0.326,70,102,-0.1385932928018923,0.07911129425006425,1.490819194837469,-0.5508286896722177,0.30966497382131014,-0.07497425894493315,-0.10857998174123673,-0.11099003238917449,-0.07497425894493337,True,True,True,8,5
JPM,2019,post_2016_oos_wf,2006-01-03,2018-12-31,2019-01-02,2019-12-31,0.338,107,63,-0.1367632633205605,0.07845249771340468,1.6676042707007923,-0.5598048428173448,0.31042703332653554,0.4475112461508086,0.27119857513117895,0.2714124456231255,0.44751124615080706,True,True,True,8,5
JPM,2020,post_2016_oos_wf,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.348,98,206,-0.1844020263852904,0.06968577394922426,1.566295919816417,-0.6634387350915059,0.2893030662812492,-0.2702937429785225,-0.0468399976396191,0.24161577843706628,-0.066662930251435,False,False,False,8,5
JPM,2021,post_2016_oos_wf,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.341,181,90,-0.18887336162803495,0.062322727491398,1.475422914119516,-0.5900898789024664,0.30085373038518515,0.28963618576182637,0.28963618576182526,0.05182482930971877,0.2896361857618275,True,True,False,8,5
JPM,2022,post_2016_oos_wf,2006-01-03,2021-12-31,2022-01-03,2022-12-30,0.18,157,130,-0.17116696282921037,0.06807863213881915,1.8669273859918336,-0.540461046450708,0.24271215082241118,-0.08823323038113051,-0.07411459556054267,0.06856910771994018,-0.14451056738292645,False,False,True,8,5
JPM,2023,post_2016_oos_wf,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.277,166,126,-0.22909827378261421,0.04830859712640323,1.2288307840298542,-0.6114631216262567,0.26487690440827233,0.2964063779154491,0.2964063779154458,0.20904963816097677,0.296406377915448,True,True,True,8,5
JPM,2024,post_2016_oos_wf,2006-01-03,2023-12-29,2024-01-02,2024-12-31,0.33,108,90,-0.045316443116455635,0.09318332932359441,3.964681106612929,-0.4933126782749424,0.29275287734994765,0.4262794113888997,0.4262794113889008,0.20726016235578326,0.4262794113889019,False,True,False,8,5
JPM,2025,post_2016_oos_wf,2006-01-03,2024-12-31,2025-01-02,2025-12-31,0.256,138,133,-0.09929125038620336,0.08383045173111703,3.6132012716772843,-0.555845590452084,0.2588136110964896,0.37100445778184654,0.16527701211306844,0.1825710366764468,0.3710044577818463,True,True,True,8,5
JPM,2026,post_2016_oos_wf,2006-01-03,2025-12-31,2026-01-02,2026-05-15,0.35,89,79,0.03771531763681314,0.11530932336765032,7.861706651018805,-0.5907555016658538,0.3001276788684713,-0.0761818948790618,-0.07618189487906168,-0.026465480282808818,-0.07618189487906146,False,False,False,8,5
