ticker,test_year,period,strategy,train_start,train_end,test_start,test_end,annualized_return,cumulative_return,max_drawdown,volatility
MSFT,2020,post_2016_oos_wf,fixed_rule,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.22266063039786022,0.22266063039786022,-0.3712895389917904,0.4155627886225101
MSFT,2020,post_2016_oos_wf,buy_and_hold,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.3994289125029131,0.3994289125029131,-0.2803926332022154,0.4385203736530649
MSFT,2020,post_2016_oos_wf,dca,2006-01-03,2019-12-31,2020-01-02,2020-12-31,0.18769390322945334,0.18769390322945334,-0.1070273257186869,0.19837854316044629
MSFT,2021,post_2016_oos_wf,ga_walkforward,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.5606534919522992,0.5578993610399094,-0.08768199476404515,0.20921329776306538
MSFT,2021,post_2016_oos_wf,fixed_rule,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.5606534919522981,0.5578993610399083,-0.08768199476404526,0.20921329776306555
MSFT,2021,post_2016_oos_wf,buy_and_hold,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.5606534919522979,0.5578993610399081,-0.08768199476404537,0.20921329776306538
MSFT,2021,post_2016_oos_wf,dca,2006-01-03,2020-12-31,2021-01-04,2021-12-31,0.27263508768471034,0.2714181337452457,-0.06606551511527714,0.1309229282517728
MSFT,2022,post_2016_oos_wf,ga_walkforward,2006-01-03,2021-12-31,2022-01-03,2022-12-30,-0.30242213731097456,-0.3004254240966282,-0.3004254240966282,0.28832223025755205
MSFT,2022,post_2016_oos_wf,fixed_rule,2006-01-03,2021-12-31,2022-01-03,2022-12-30,-0.2349465566643797,-0.23331872695249212,-0.2502302915285307,0.19548309588101442
MSFT,2022,post_2016_oos_wf,buy_and_hold,2006-01-03,2021-12-31,2022-01-03,2022-12-30,-0.27874470335470747,-0.27687180834447356,-0.35578830657117944,0.35311477904402994
MSFT,2022,post_2016_oos_wf,dca,2006-01-03,2021-12-31,2022-01-03,2022-12-30,-0.12138190111882974,-0.12047907624283505,-0.20835445573310096,0.21544972550972277
MSFT,2023,post_2016_oos_wf,ga_walkforward,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.5360341002713265,0.5282056443847416,-0.12987591143150778,0.23614767987258758
MSFT,2023,post_2016_oos_wf,fixed_rule,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.5922909072359615,0.5834975155826327,-0.1298759114315069,0.2506985970216291
MSFT,2023,post_2016_oos_wf,buy_and_hold,2006-01-03,2022-12-30,2023-01-03,2023-12-29,0.5922909072359637,0.5834975155826347,-0.12987591143150679,0.2506985970216294
