ticker,date,action,price,exposure_after,drawdown_from_peak,momentum_126d,price_vs_ma_pct,volatility_63d,next_change_date,price_return_until_next_change,interpretation,rule_evidence
V,2020-03-09,Exit,163.58645629882812,0.0,-0.1977403412955389,-0.0711728165097077,-0.09588000670614438,0.32878937346255477,2020-06-01,0.1375879341862669,失敗：出場後股價反彈，策略少吃一段上漲。,DD -19.77% <= GA stop -18.00% and price vs 96D MA -9.59%; 63D vol 32.88%
V,2020-06-01,Re-entry,186.0939788818359,1.0,-0.0873590921734126,0.0333092851941267,0.06362284778461236,0.7252248732924949,2021-11-17,0.06479480118450098,成功：重新進場後股價上漲，策略重新跟上趨勢。,"price vs 96D MA 6.36%, 67D momentum 3.33% > 0; 63D vol 72.52%"
V,2021-11-17,Exit,198.1519012451172,0.0,-0.1802454816418393,-0.1170384382953471,-0.10530448381396329,0.27994663817353693,2022-02-01,0.13313159942070296,失敗：出場後股價反彈，策略少吃一段上漲。,DD -18.02% <= GA stop -18.00% and price vs 96D MA -10.53%; 63D vol 27.99%
V,2022-02-01,Re-entry,224.5321807861328,1.0,-0.0711102514804693,0.0040937712023114,0.07644086039583842,0.353403476705754,2022-03-07,-0.17795545357606246,失敗：重新進場後價格下跌，屬於二次回落或假突破。,"price vs 96D MA 7.64%, 67D momentum 0.41% > 0; 63D vol 35.34%"
V,2022-03-07,Exit,184.5754547119141,0.0,-0.1886405190731575,-0.0268976937249038,-0.11008722781421709,0.3318624588539315,2022-03-17,0.11929735423211163,失敗：出場後股價反彈，策略少吃一段上漲。,DD -18.86% <= GA stop -18.00% and price vs 96D MA -11.01%; 63D vol 33.19%
V,2022-03-17,Re-entry,206.5948181152344,1.0,-0.0918474796674456,0.0113876556814427,0.005542426437940673,0.34256676385631696,2022-09-22,-0.12637821858844844,失敗：重新進場後價格下跌，屬於二次回落或假突破。,"price vs 96D MA 0.55%, 67D momentum 1.14% > 0; 63D vol 34.26%"
V,2022-09-22,Exit,180.48573303222656,0.0,-0.1825592419812862,-0.0155033314109466,-0.08896380642230661,0.23403509183279567,2022-11-25,0.15327959278723857,失敗：出場後股價反彈，策略少吃一段上漲。,DD -18.26% <= GA stop -18.00% and price vs 96D MA -8.90%; 63D vol 23.40%
V,2022-11-25,Re-entry,208.1505126953125,1.0,-0.0572622554644862,0.0271216053193001,0.06700979764341786,0.2838159812968617,2026-03-18,0.43358458897622465,成功：重新進場後股價上漲，策略重新跟上趨勢。,"price vs 96D MA 6.70%, 67D momentum 2.71% > 0; 63D vol 28.38%"
V,2026-03-18,Exit,298.4013671875,0.0,-0.194346825461433,-0.0822769555596768,-0.09501901387018508,0.22543259117388872,2026-04-29,0.11985826163508007,失敗：出場後股價反彈，策略少吃一段上漲。,DD -19.43% <= GA stop -18.00% and price vs 96D MA -9.50%; 63D vol 22.54%
V,2026-04-29,Re-entry,334.167236328125,1.0,-0.0977826364804566,0.0281607327195161,0.03650346918467462,0.27866570812652286,2026-05-15,-0.02518869420178571,失敗：重新進場後價格下跌，屬於二次回落或假突破。,"price vs 96D MA 3.65%, 67D momentum 2.82% > 0; 63D vol 27.87%"
